"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"N. Djedovic",20202039,29092,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/74/43/0000507443_03.jpg",1693573200
"I. Diop",20209890,29102,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/72/82/0000507282_03.jpg",1693659600
"E. Vicedo",20209139,28955,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/58/15/0000505815_03.jpg",1693573200
"J. Puerto",20210392,29515,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/92/20/0000509220_03.jpg",1693573200
"I. Iroegbu",30002683,28764,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/36/61/0000503661_03.jpg",1693573200
"S. Martínez",20210335,28768,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/38/25/0000503825_03.jpg",1693573200
"Y. Pons",30002671,28752,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/38/66/0000503866_03.jpg",1693573200
"J. Marcos",30000108,28770,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/37/01/0000503701_03.jpg",1693573200
"J. Sorolla",20210852,28762,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/36/82/0000503682_03.jpg",1693573200
"B. Touré",30002729,29505,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/90/81/0000509081_03.jpg",1693573200
"K. Robertson",30000287,29507,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/92/50/0000509250_03.jpg",1693573200
"C. Jones",30002048,29498,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/91/22/0000509122_03.jpg",1693573200
"N. Reuvers",30002724,29513,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/92/96/0000509296_03.jpg",1693573200
"M. Susinskas",30002674,28758,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/37/73/0000503773_03.jpg",1693573200
"G. Goloman",30002719,28756,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/36/41/0000503641_03.jpg",1693573200
"Q. Colom",20202077,28773,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/37/99/0000503799_03.jpg",1693573200
"M. Fjellerup",30001997,28749,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/37/53/0000503753_03.jpg",1693573200
"B. Davies",30000019,29500,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/91/05/0000509105_03.jpg",1693573200
"G. Ferrando",20212102,29523,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/91/62/0000509162_03.jpg",1693573200
"D. Inglis",30001509,29509,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/91/43/0000509143_03.jpg",1693573200
"V. Claver",20201901,29519,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/93/19/0000509319_03.jpg",1693573200
"J. Harper",30002061,29521,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/92/02/0000509202_03.jpg",1693573200
"S. Djordjevic",30002652,28766,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/38/46/0000503846_03.jpg",1693573200
